"1.88","012630","2020-11-24","2020-11-24","기타 금융업"
"1.69","294870","2020-11-24","2020-11-24","건물 건설업"
"0","086040","2020-11-24","2020-11-24","자연과학 및 공학 연구개발업"
"-3.46","116100","2020-11-24","2020-11-24","자동차 신품 부품 제조업"
"-3.47","348210","2020-11-25","2020-11-25","특수 목적용 기계 제조업"
"1.99","047040","2020-11-25","2020-11-25","건물 건설업"
"0.56","001470","2020-11-25","2020-11-25","토목 건설업"
"-0.75","138250","2020-11-25","2020-11-25",\N
"11.37","348350","2020-11-25","2020-11-25","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
"0.27","036930","2020-11-25","2020-11-25","특수 목적용 기계 제조업"
"-3.96","241820","2020-11-25","2020-11-25","의료용품 및 기타 의약 관련제품 제조업"
"-1.58","003380","2020-11-25","2020-11-25","기타 금융업"
"5.27","010620","2020-11-25","2020-11-25","선박 및 보트 건조업"
"-2.88","263800","2020-11-26","2020-11-26","기계장비 및 관련 물품 도매업"
"0.37","001470","2020-11-26","2020-11-26","토목 건설업"
"2.39","112610","2020-11-26","2020-11-26","구조용 금속제품, 탱크 및 증기발생기 제조업"
"-2.67","123750","2020-11-26","2020-11-26","그외 기타 운송장비 제조업"
"1.07","088390","2020-11-26","2020-11-26","그외 기타 운송장비 제조업"
"4.61","225220","2020-11-26","2020-11-26","기초 의약물질 및 생물학적 제제 제조업"
"-0.88","115500","2020-11-26","2020-11-26","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
"2.39","241820","2020-11-26","2020-11-26","의료용품 및 기타 의약 관련제품 제조업"
"9.1","014790","2020-11-26","2020-11-26","토목 건설업"
"-2.02","060980","2020-11-26","2020-11-26","기타 금융업"
"2.87","216080","2020-11-27","2020-11-27","의료용품 및 기타 의약 관련제품 제조업"
"2.72","054620","2020-11-30","2020-11-30","기타 금융업"
"0","265520","2020-11-30","2020-11-30","특수 목적용 기계 제조업"
"0.31","018700","2020-11-30","2020-11-30","생활용품 도매업"
"1.19","010140","2020-11-30","2020-11-30","선박 및 보트 건조업"
"-0.3","143540","2020-11-30","2020-11-30","특수 목적용 기계 제조업"
"-1.46","241820","2020-11-30","2020-11-30","의료용품 및 기타 의약 관련제품 제조업"
"1.47","013580","2020-12-01","2020-12-01","토목 건설업"
"0.57","047040","2020-12-01","2020-12-01","건물 건설업"
"-1.35","214610","2020-12-01","2020-12-01","의료용 기기 제조업"
"5.15","034300","2020-12-01","2020-12-01","건물 건설업"
"-1.17","112610","2020-12-01","2020-12-01","구조용 금속제품, 탱크 및 증기발생기 제조업"
"0.8","246720","2020-12-01","2020-12-01","의료용품 및 기타 의약 관련제품 제조업"
"6.93","265560","2020-12-01","2020-12-01","자동차 신품 부품 제조업"
"1.31","175140","2020-12-01","2020-12-01","통신 및 방송 장비 제조업"
"2.46","042700","2020-12-01","2020-12-01","특수 목적용 기계 제조업"
"2.46","042700","2020-12-01","2020-12-01","특수 목적용 기계 제조업"
"3.52","013580","2020-12-02","2020-12-02","토목 건설업"
"3.55","001880","2020-12-02","2020-12-02","건물 건설업"
"3.29","005960","2020-12-03","2020-12-03","토목 건설업"
"-1.49","171090","2020-12-03","2020-12-03","특수 목적용 기계 제조업"
"0.25","950130","2020-12-03","2020-12-03","의료용품 및 기타 의약 관련제품 제조업"
"2.38","032820","2020-12-03","2020-12-03","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
"0.42","010620","2020-12-03","2020-12-03","선박 및 보트 건조업"
"1","001260","2020-12-04","2020-12-04","토목 건설업"
"3.57","037350","2020-12-04","2020-12-04","건축기술, 엔지니어링 및 관련 기술 서비스업"
"-0.17","011560","2020-12-04","2020-12-04","건물설비 설치 공사업"
"-2.15","217600","2020-12-04","2020-12-04","자연과학 및 공학 연구개발업"
"4.15","241820","2020-12-04","2020-12-04","의료용품 및 기타 의약 관련제품 제조업"
"4.15","241820","2020-12-04","2020-12-04","의료용품 및 기타 의약 관련제품 제조업"
"0","097230","2020-12-04","2020-12-04","토목 건설업"
"-1.63","298040","2020-12-04","2020-12-04","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
"2.24","005960","2020-12-07","2020-12-07","토목 건설업"
"5.97","140410","2020-12-07","2020-12-07","자연과학 및 공학 연구개발업"
"0","138250","2020-12-07","2020-12-07",\N
"-0.53","302430","2020-12-07","2020-12-07","특수 목적용 기계 제조업"
"8.54","241820","2020-12-07","2020-12-07","의료용품 및 기타 의약 관련제품 제조업"
"-0.56","003380","2020-12-07","2020-12-07","기타 금융업"
"1.61","042700","2020-12-07","2020-12-07","특수 목적용 기계 제조업"
"1.2","011560","2020-12-08","2020-12-08","건물설비 설치 공사업"
"2.91","002800","2020-12-08","2020-12-08","의약품 제조업"
"-4.9","241820","2020-12-08","2020-12-08","의료용품 및 기타 의약 관련제품 제조업"
"5.07","012630","2020-12-09","2020-12-09","기타 금융업"
"6.26","294870","2020-12-09","2020-12-09","건물 건설업"
"1.02","013580","2020-12-09","2020-12-09","토목 건설업"
"1.02","013580","2020-12-09","2020-12-09","토목 건설업"
"12.53","013360","2020-12-09","2020-12-09","토목 건설업"
"3.61","002780","2020-12-09","2020-12-09","토목 건설업"
"-4.78","241820","2020-12-09","2020-12-09","의료용품 및 기타 의약 관련제품 제조업"
"2.77","017960","2020-12-09","2020-12-09","구조용 금속제품, 탱크 및 증기발생기 제조업"
"6.5","014790","2020-12-09","2020-12-09","토목 건설업"
"-0.13","060980","2020-12-09","2020-12-09","기타 금융업"
"1.86","042700","2020-12-09","2020-12-09","특수 목적용 기계 제조업"
"4.97","001880","2020-12-10","2020-12-10","건물 건설업"
"4.23","007680","2020-12-10","2020-12-10","건물 건설업"
"-4.41","000640","2020-12-10","2020-12-10","기타 금융업"
"3.99","112610","2020-12-10","2020-12-10","구조용 금속제품, 탱크 및 증기발생기 제조업"
"1.85","237690","2020-12-10","2020-12-10","의약품 제조업"
"4.86","950130","2020-12-10","2020-12-10","의료용품 및 기타 의약 관련제품 제조업"
"2.7","241820","2020-12-10","2020-12-10","의료용품 및 기타 의약 관련제품 제조업"
"2.88","002460","2020-12-10","2020-12-10","건물 건설업"
"1.31","006360","2020-12-11","2020-12-11","건물 건설업"
"5.43","013580","2020-12-11","2020-12-11","토목 건설업"
"0.94","002990","2020-12-11","2020-12-11","건물 건설업"
"2.62","001260","2020-12-11","2020-12-11","토목 건설업"
"0.96","002780","2020-12-11","2020-12-11","토목 건설업"
"1.2","004960","2020-12-11","2020-12-11","건물 건설업"
"1.43","000720","2020-12-11","2020-12-11","토목 건설업"
"-2.86","010780","2020-12-14","2020-12-14","내화, 비내화 요업제품 제조업"
