598,진에어,272450
599,진원생명과학,11000
600,진흥기업,2780
601,참엔지니어링,9310
602,천일고속,650
603,체시스,33250
604,초록뱀헬스케어,118000
605,카카오,35720
606,카카오뱅크,323410
607,카카오페이,377300
608,카프로,6380
609,컨버즈,109070
610,케이비아이동국실업,1620
611,케이씨,29460
612,케이씨씨,2380
613,케이씨씨글라스,344820
614,케이씨텍,281820
615,케이씨티시,9070
616,케이카,381970
617,케이탑리츠,145270
618,케이티,30200
619,케이티스카이라이프,53210
620,케이티앤지,33780
621,코람코더원리츠,417310
622,코람코에너지리츠,357120
623,코리아써키트,7810
624,코리안리,3690
625,코스맥스,192820
626,코스맥스비티아이,44820
627,코스모신소재,5070
628,코스모화학,5420
629,코아스,71950
630,코오롱,2020
631,코오롱글로벌,3070
632,코오롱인더,120110
633,코오롱플라스틱,138490
634,코웨이,21240
635,콘텐트리중앙,36420
636,콤텍시스템,31820
637,쿠쿠홀딩스,192400
638,쿠쿠홈시스,284740
639,큐로,15590
640,크라운제과,264900
641,크라운해태홀딩스,5740
642,크래프톤,259960
643,키다리스튜디오,20120
644,키움증권,39490
645,태경비케이,14580
646,태경산업,15890
647,태경케미컬,6890
648,태광산업,3240
649,태림포장,11280
650,태양금속공업,4100
651,태영건설,9410
652,태원물산,1420
653,태평양물산,7980
654,테이팩스,55490
655,텔코웨어,78000
656,토니모리,214420
657,티비에이치글로벌,84870
658,티에이치엔,19180
659,티와이홀딩스,363280
660,티웨이항공,91810
661,티웨이홀딩스,4870
662,티케이지휴켐스,69260
663,파미셀,5690
664,팜스코,36580
665,팜젠사이언스,4720
666,팬오션,28670
667,퍼스텍,10820
668,퍼시스,16800
669,페이퍼코리아,1020
670,평화산업,90080
671,평화홀딩스,10770
672,포스코스틸리온,58430
673,포스코인터내셔널,47050
674,포스코케미칼,3670
675,풀무원,17810
676,풍산,103140
677,풍산홀딩스,5810
678,프레스티지바이오파마,950210
679,플레이그램,9810
680,하나금융지주,86790
681,하나제약,293480
682,하나투어,39130
683,하이브,352820
684,하이스틸,71090
685,하이트론씨스템즈,19490
686,하이트진로,80
687,하이트진로홀딩스,140
688,한국ANKOR유전,152550
689,한국가스공사,36460
690,한국공항,5430
691,한국금융지주,71050
692,한국내화,10040
693,한국단자공업,25540
694,한국석유공업,4090
695,한국수출포장공업,2200
696,한국쉘석유,2960
697,한국앤컴퍼니,240
698,한국자산신탁,123890
699,한국전력공사,15760
700,한국전자홀딩스,6200
701,한국조선해양,9540
702,한국종합기술,23350
703,한국주강,25890
704,한국주철관공업,970
705,한국철강,104700
706,한국카본,17960
707,한국콜마,161890
708,한국콜마홀딩스,24720
709,한국타이어앤테크놀로지,161390
710,한국토지신탁,34830
711,한국특강,7280
712,한국패러랠,168490
713,한국프랜지공업,10100
714,한국항공우주,47810
715,한국화장품,123690
716,한국화장품제조,3350
