,회사명,종목코드
897,엠에스오토텍,123040
898,엠에프엠코리아,323230
899,엠케이전자,33160
900,엠투아이,347890
901,엠투엔,33310
902,엠플러스,259630
903,엠피대산,65150
904,연우,115960
905,연이비앤티,90740
906,영림원소프트랩,60850
907,영신금속,7530
908,영우디에스피,143540
909,영창케미칼,112290
910,영풍정밀,36560
911,영화테크,265560
912,예림당,36000
913,예선테크,250930
914,예스24,53280
915,예스티,122640
916,오가닉티코스메틱,900300
917,오공,45060
918,오디텍,80520
919,오로라,39830
920,오로스테크놀로지,322310
921,오르비텍,46120
922,오리엔탈정공,14940
923,오리엔트정공,65500
924,오리콤,10470
925,오비고,352910
926,오상자이엘,53980
927,오성첨단소재,52420
928,오션브릿지,241790
929,오스코텍,39200
930,오스테오닉,226400
931,오스템,31510
932,오스템임플란트,48260
933,오이솔루션,138080
934,오킨스전자,80580
935,오텍,67170
936,오토앤,353590
937,오파스넷,173130
938,오픈베이스,49480
939,오하임아이엔티,309930
940,올리패스,244460
941,올릭스,226950
942,옴니시스템,57540
943,옵투스제약,131030
944,옵트론텍,82210
945,옵티시스,109080
946,옵티팜,153710
947,와이더플래닛,321820
948,와이솔,122990
949,와이아이케이,232140
950,와이어블,65530
951,와이엔텍,67900
952,와이엠씨,155650
953,와이엠텍,273640
954,와이엠티,251370
955,와이오엠,66430
956,와이제이엠게임즈,193250
957,와이즈버즈,273060
958,와이지-원,19210
959,와이지엔터테인먼트,122870
960,와이팜,332570
961,와토스코리아,79000
962,우리기술,32820
963,우리기술투자,41190
964,우리넷,115440
965,우리로,46970
966,우리바이오,82850
967,우리산업,215360
968,우리산업홀딩스,72470
969,우리손에프앤지,73560
970,우리엔터프라이즈,37400
971,우리이앤엘,153490
972,우림피티에스,101170
973,우수AMS,66590
974,우양,103840
975,우원개발,46940
976,우정바이오,215380
977,우주일렉트로,65680
978,우진비앤지,18620
979,원바이오젠,307280
980,원방테크,53080
981,원익,32940
982,원익IPS,240810
983,원익QnC,74600
984,원익머트리얼즈,104830
985,원익큐브,14190
986,원익피앤이,131390
987,원익홀딩스,30530
988,원일특강,12620
989,원준,382840
990,원텍,336570
991,원티드랩,376980
992,원풍,8370
993,원풍물산,8290
994,월덱스,101160
995,웨이버스,336060
996,웨이브일렉트로,95270
997,웰크론,65950
998,웰크론한텍,76080
999,웹스,196700
1000,웹젠,69080
1001,웹케시,53580
1002,위니아,71460
1003,위니아에이드,377460
1004,위닉스,44340
1005,위더스제약,330350
1006,위드텍,348350
1007,위메이드,112040
1008,위메이드맥스,101730
1009,위메이드플레이,123420
1010,위세아이텍,65370
1011,위즈코프,38620
1012,위지윅스튜디오,299900
1013,위지트,36090
1014,윈스,136540
1015,윈텍,320000
1016,윈팩,97800
1017,윈하이텍,192390
1018,윌링스,313760
1019,윙입푸드,900340
1020,유네코,64510
1021,유니셈,36200
1022,유니슨,18000
1023,유니온커뮤니티,203450
1024,유니크,11320
1025,유니테스트,86390
1026,유니테크노,241690
1027,유니트론텍,142210
1028,유라테크,48430
1029,유바이오로직스,206650
1030,유비벨록스,89850
1031,유비케어,32620
1032,유비쿼스,264450
1033,유비쿼스홀딩스,78070
1034,유성티엔에스,24800
1035,유신,54930
1036,유아이디,69330
1037,유아이엘,49520
1038,유안타제7호스팩,367460
1039,유안타제8호스팩,367480
1040,유안타제9호스팩,430700
1041,유에스티,263770
1042,유일로보틱스,388720
1043,유일에너테크,340930
1044,유진기업,23410
1045,유진로봇,56080
1046,유진스팩6호,373340
1047,유진스팩7호,388800
1048,유진스팩8호,413630
1049,유진테크,84370
1050,유테크,178780
1051,유티아이,179900
1052,유틸렉스,263050
1053,육일씨엔에쓰,191410
1054,율호,72770
1055,이건홀딩스,39020
1056,이글루,67920
1057,이글벳,44960
1058,이노뎁,303530
1059,이노메트리,302430
1060,이노시스,56090
1061,이노와이어리스,73490
1062,이노인스트루먼트,215790
1063,이노테라피,246960
1064,이녹스,88390
1065,이녹스첨단소재,272290
1066,이니텍,53350
1067,이라이콤,41520
1068,이랜시스,264850
1069,이랜텍,54210
1070,이루다,164060
1071,이루온,65440
1072,이미지스,115610
1073,이베스트스팩5호,349720
1074,이베스트투자증권,78020
1075,이브이첨단소재,131400
1076,이삭엔지니어링,351330
1077,이상네트웍스,80010
1078,이수앱지스,86890
1079,이스트소프트,47560
1080,이스트아시아홀딩스,900110
1081,이씨에스,67010
1082,이엔드디,101360
1083,이엔에프테크놀로지,102710
1084,이엔코퍼레이션,66980
1085,이엘피,63760
1086,이엠넷,123570
1087,이엠앤아이,83470
1088,이엠코리아,95190
1089,이엠텍,91120
1090,이오테크닉스,39030
1091,이오플로우,294090
1092,이원컴포텍,88290
1093,이즈미디어,181340
1094,이지바이오,353810
1095,이지케어텍,99750
1096,이지트로닉스,377330
1097,이지홀딩스,35810
1098,이큐셀,160600
1099,이크레더블,92130
1100,이트론,96040
1101,이퓨쳐,134060
1102,이화공영,1840
1103,이화전기,24810
1104,인바디,41830
1105,인바이오,352940
1106,인베니아,79950
1107,인산가,277410
1108,인선이엔티,60150
1109,인성정보,33230
1110,인지디스플레,37330
1111,인카금융서비스,211050
1112,인콘,83640
1113,인크로스,216050
1114,인탑스,49070
1115,인터로조,119610
1116,인터엠,17250
1117,인터플렉스,51370
1118,인텍플러스,64290
1119,인텔리안테크,189300
1120,인트로메딕,150840
1121,인트론바이오,48530
1122,인포마크,175140
1123,인포바인,115310
1124,인포뱅크,39290
1125,인피니트헬스케어,71200
1126,인화정공,101930
1127,일승,333430
1128,일신바이오,68330
1129,일야,58450
1130,일지테크,19540
1131,일진파워,94820
1132,잉글우드랩,950140
1133,잉크테크,49550
1134,자비스,254120
1135,자연과환경,43910
1136,자이글,234920
1137,자이언트스텝,289220
1138,장원테크,174880
1139,재영솔루텍,49630
1140,전진바이오팜,110020
1141,정다운,208140
1142,정상제이엘에스,40420
1143,정원엔시스,45510
1144,제너셈,217190
1145,제넥신,95700
1146,제넨바이오,72520
1147,제노레이,122310
1148,제노코,361390
1149,제노포커스,187420
1150,제놀루션,225220
1151,제닉,123330
1152,제로투세븐,159580
1153,제룡산업,147830
1154,제룡전기,33100
1155,제우스,79370
1156,제이브이엠,54950
1157,제이스코홀딩스,23440
1158,제이스텍,90470
1159,제이시스메디칼,287410
1160,제이씨케미칼,137950
1161,제이씨현시스템,33320
1162,제이앤티씨,204270
1163,제이에스티나,26040
1164,제이엔케이히터,126880
1165,제이엘케이,322510
1166,제이엠아이,33050
1167,제이엠티,94970
1168,제이웨이,58420
1169,제이티,89790
1170,제일바이오,52670
1171,제일전기공업,199820
1172,제일테크노스,38010
1173,제주맥주,276730
1174,제주반도체,80220
1175,제테마,216080
1176,젠큐릭스,229000
1177,젬백스,82270
1178,젬백스링크,64800
1179,조광ILI,44060
1180,조아제약,34940
