"0.21","089150","2019-11-27","2019-11-27"
"-2.88","104460","2019-11-28","2019-11-28"
"0.5","207940","2019-11-28","2019-11-28"
"3.96","104460","2019-11-29","2019-11-29"
"0","009410","2019-11-29","2019-11-29"
"-0.83","068050","2019-11-29","2019-11-29"
"3.81","104460","2019-12-02","2019-12-02"
"-1.15","010140","2019-12-02","2019-12-02"
"1.14","036200","2019-12-02","2019-12-02"
"-3.14","110020","2019-12-02","2019-12-02"
"0","009520","2019-12-02","2019-12-02"
"0.1","003670","2019-12-02","2019-12-02"
"0.1","003670","2019-12-02","2019-12-02"
"0.92","104460","2019-12-03","2019-12-03"
"-0.67","058110","2019-12-03","2019-12-03"
"2.03","082920","2019-12-03","2019-12-03"
"-0.66","042370","2019-12-03","2019-12-03"
"-0.85","138690","2019-12-03","2019-12-03"
"1.84","010620","2019-12-05","2019-12-05"
"1.06","100220","2019-12-06","2019-12-06"
"1.11","112610","2019-12-06","2019-12-06"
"1.11","112610","2019-12-06","2019-12-06"
"-0.82","009540","2019-12-06","2019-12-06"
"0.88","267250","2019-12-06","2019-12-06"
"-0.45","002990","2019-12-09","2019-12-09"
"-0.76","042660","2019-12-09","2019-12-09"
"-8.75","015540","2019-12-09","2019-12-09"
"-2.09","047810","2019-12-09","2019-12-09"
"6.2","097230","2019-12-09","2019-12-09"
"-0.37","241840","2019-12-10","2019-12-10"
"23.96","007460","2019-12-10","2019-12-10"
"0","042700","2019-12-10","2019-12-10"
"1.39","272210","2019-12-10","2019-12-10"
"-1.03","187790","2019-12-11","2019-12-11"
"-1.84","017370","2019-12-11","2019-12-11"
"0.41","013360","2019-12-11","2019-12-11"
"2.04","263860","2019-12-11","2019-12-11"
"0.16","042700","2019-12-11","2019-12-11"
"2.36","006050","2019-12-12","2019-12-12"
"-0.83","005960","2019-12-12","2019-12-12"
"2.33","104460","2019-12-12","2019-12-12"
"0","272210","2019-12-12","2019-12-12"
"2.4","012630","2019-12-13","2019-12-13"
"0.98","294870","2019-12-13","2019-12-13"
"0.45","079550","2019-12-13","2019-12-13"
"-0.66","006050","2019-12-13","2019-12-13"
"-0.14","004440","2019-12-13","2019-12-13"
"1.78","013360","2019-12-13","2019-12-13"
"0.84","221840","2019-12-13","2019-12-13"
"0.68","046390","2019-12-17","2019-12-17"
"1.36","112610","2019-12-17","2019-12-17"
"1.15","136540","2019-12-17","2019-12-17"
"-0.31","099750","2019-12-17","2019-12-17"
"-0.51","009520","2019-12-17","2019-12-17"
"0","012630","2019-12-18","2019-12-18"
"0","012630","2019-12-18","2019-12-18"
"0.38","294870","2019-12-18","2019-12-18"
"0.38","294870","2019-12-18","2019-12-18"
"-1.92","074610","2019-12-18","2019-12-18"
